Country,Region,SurfaceArea,Population,PopDensity,SexRatio,GDP,GDPGrowth,GDPperCapita,PercentAgriculture,PercentIndustry,PercentServices,EmployAgriculture,EmployIndustry,EmployServices,Unemployment,LabourForceGenderRatio,AgProductionIndex,FoodProductionIndex,InternationalExports,InternationaImports,InternationalTradeBalance,BalanceOfPayments,PopGrowthRate,UrbanPop,UrbanPopGrowth,FertilityRate,LifeExpectancyGndrRatio,PopAgeDist,InterMigrantStock,Refugees,InfantMortRate,HealthExpend,Physicians,EduExpend,EduEnrollment,EduSecondaryEnrollment,EduTertiaryEnrollRatio,WomenInParliament,MobileCellSubscriptions,OnInternet,ThreatenedSpecies,PercentForest,CO2PerCapita,EnergyProduction,EnergyPerCapita
Mexico,CentralAmerica,1964375,129163,66.4,99.2,1140724,2.5,8980.9,3.6,36,60.4,13.4,25.2,61.3,4.1,0.572327044,120,120,373883,387064,-13181,-33216,1.4,79.2,1.6,2.3,1.066216216,2.643564356,1325.777778,5.9,18.8,6.3,2.1,5.3,0.996138996,1.06613455,1.003344482,42.6,85.3,1162,34,126.3947368,8514,62,1.055374593
Micronesia (Federated States of),Micronesia,702,106,150.8,105.1,315,3.7,3015.2,27.8,6.5,65.8,NA,NA,NA,NA,NA,99,99,6,40,-34,22,0.2,22.4,0.3,3.3,1.031019202,4.1375,1.076923077,0,33.2,13.7,NA,12.5,1.003144654,NA,NA,0,30.3,167,91.8,0.142857143,0,22,1.084668192
Monaco,WesternEurope,2,39,25969.8,94.7,6258,5.4,165870.6,NA,13.4,86.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,100,0.8,NA,NA,NA,0.376344086,0,NA,4.3,6.6,1,NA,NA,NA,20.8,88.8,21,NA,NA,NA,NA,NA
Mongolia,EasternAsia,1564116,3076,2,97.9,11758,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51,6.3,0.81962482,147,149,4917,3358,1559,-948,1.9,72,2.8,2.8,1.127131783,4.5,29.33333333,0,22.8,4.7,2.9,4.6,0.982318271,1.020994475,1.381282496,17.1,105,41,8.1,2.888888889,677,84,1.121621622
Montenegro,SouthernEurope,13812,629,46.8,97.4,4020,4.5,6424.1,9.8,17.5,72.6,7.5,17.3,75.2,17.4,0.747763864,66,66,354,2263,-1908,-533,0.1,64,0.3,1.7,1.064864865,0.849765258,6.25,16,4.1,6.4,2.3,NA,0.980042017,0.998893805,NA,23.5,162.2,98,61.5,0.628571429,29,64,1.008064516
Montserrat,Caribbean,103,5,51.8,106,59,0.4,11553.4,1.4,12.7,85.9,NA,NA,NA,5.6,NA,103,103,4,36,-32,-27,0.7,9,0.7,NA,NA,1.005102041,0.053030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,55,25,0,NA,133,1
Morocco,NorthernAfrica,446550,35740,80.1,98.1,100359,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,0.343624161,130,130,22858,41696,-18838,-2161,1.4,60.2,2.3,2.6,1.031207598,2.560747664,295,6.4,28.1,5.9,0.6,NA,0.948173322,0.853494624,0.958188153,20.5,126.9,207,12.6,35.23529412,78,23,1.511485452
Mozambique,EasternAfrica,799380,29669,37.7,95.5,14806,6.6,529.2,24.6,21,54.4,75,4.1,21,24.1,1.087301587,137,137,3352,5295,-1943,-5833,2.9,32.2,3.3,5.4,1.075925926,9.333333333,278.625,24,67.3,7,0.1,6.5,0.916666667,0.920118343,0.72972973,39.6,74.2,309,48.5,28,779,20,2.178378378
Myanmar,South-easternAsia,676577,53371,81.7,95.5,62601,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,0.92450495,130,128,11673,15696,-4023,-3921,0.9,34.1,2.5,2.3,1.072213501,2.85106383,733,1392.1,45,2.3,0.6,NA,0.973267327,1.027667984,1.231404959,10.2,76.7,321,45.3,54,1078,15,1.245967742
Namibia,SouthernAfrica,824116,2534,3.1,94.7,11491,5.3,4673.6,6.6,30.6,62.8,29.1,14.6,56.3,24.9,0.877138414,88,89,4816,6721,-1905,-1700,2.2,46.7,4.2,3.6,1.087986464,6.672727273,24.71052632,4.8,36.4,NA,NA,NA,0.966460724,NA,NA,41.3,102.1,115,8.5,2.375,19,31,1.160756501
Nauru,Micronesia,21,11,568,101.9,189,18.7,18469.2,3,59.9,37.1,NA,NA,NA,23,0.624841572,112,112,NA,NA,NA,NA,2.3,100,0.2,3.9,1.121107266,9.875,0.102893891,0.8,18,3.3,NA,NA,0.916894977,1.018315018,NA,10.5,67.8,82,0,0,0,63,NA
Nepal,SouthernAsia,147181,29305,204.4,94.3,20658,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,3,0.919261822,139,139,703,5249,-4547,2447,1.2,18.6,3.2,2.3,1.044510386,3.511363636,287.9444444,30.7,32.8,5.8,NA,3.7,1.080336649,1.076005961,1.02027027,29.6,96.8,104,25.4,26.66666667,451,19,0.990196078
Netherlands,WesternEurope,41542,17036,505.2,99,750318,2,44332.1,1.8,20,78.2,2.2,15.9,81.9,5.6,0.822094692,115,115,511714,420969,90745,65129,0.3,90.5,1,1.7,1.046599496,0.656,169.1880342,116.3,3.5,10.9,3.4,5.5,0.994285714,1.011878248,1.104417671,38,123.5,40,11.1,16.8989899,2447,178,1
New Caledonia,Melanesia,18575,276,15.1,101.5,8937,3.2,33965.7,1.4,26,72.6,3,26.9,70.1,15.1,0.680119581,102,103,1344,2422,-1079,-1469,1.4,70.2,2.2,2.2,1.075983718,1.584507042,2.635245902,NA,13,NA,NA,NA,NA,NA,NA,NA,93.5,526,45.9,0.260606061,1,215,1
New Zealand,Oceania,268107,4706,17.9,96.7,173417,3.1,38294.3,6.5,23,70.6,5.9,21.4,72.6,5.5,0.853021978,116,118,33833,36423,-2589,-5501,1.1,86.3,1,2,1.045283019,0.951923077,45.20434783,1.7,4.4,11,2.9,6.4,0.99497992,1.057319224,1.350558659,34.2,121.8,199,38.6,4.506493506,783,207,1
Nicaragua,CentralAmerica,130373,6218,51.7,97.2,12693,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,0.615384615,130,130,2225,5927,-3701,-1045,1.2,58.8,2,2.3,1.085434174,3.452380952,57.57142857,0.6,20,9,0.9,NA,NA,NA,NA,45.7,116.1,144,25.9,6.125,91,26,1.430835735
Niger,WesternAfrica,1267000,21477,17,100.6,7143,3.6,359,39.6,19.1,41.3,62.3,14.4,23.3,2.7,0.452914798,148,148,927,1861,-933,-1150,3.8,18.7,5.1,7.4,1.032986111,11.95238095,189.3,312.5,65.8,6,NA,6.7,0.857509628,0.710743802,0.346153846,17,46.5,34,0.9,21,101,5,2.057613169
Nigeria,WesternAfrica,923768,190886,209.6,102.7,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,0.754276827,116,117,104084,36533,67551,-15763,2.7,47.8,4.7,5.7,1.02734375,9.777777778,1713,2437.5,76.3,3.7,NA,NA,0.982010582,0.925605536,0.703389831,5.6,82.2,361,8.1,160.5,10851,32,1.410122164
Niue,Polynesia,260,2,6.2,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,101,NA,NA,NA,NA,-0.1,42.5,-0.9,2.6,1.088445078,1.134328358,0.01734104,NA,8.1,7.4,NA,NA,0.816576087,1.096061479,NA,NA,NA,52,70,0,0,62,0.997971602
Northern Mariana Islands,Micronesia,457,55,119.9,107.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1735,4553,-2818,NA,0.1,89.2,0.4,1.6,1.040053405,2.35,0.549618321,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,102,64.5,NA,NA,NA,1
Norway,NorthernEurope,386194,5305,14.5,101.8,386578,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,0.894582723,103,104,89120,72473,16647,33746,1.2,80.5,1.3,1.8,1.051572327,0.798206278,52.23943662,73.2,2.4,9.7,4.4,7.4,0.99800995,0.968613775,1.457006369,39.6,113.6,64,33.2,5.173913043,8204,233,1
Oman,WesternAsia,309500,4636,15,192.8,69832,5.7,15550.8,1.5,51.1,47.3,5,39.6,55.4,17.8,0.352459016,134,134,24455,23260,1195,-10807,6.5,77.6,8.5,2.9,1.056375839,5.45,44.89051095,0.6,9.6,3.6,1.5,5,1.03538175,1.068316832,NA,1.2,159.9,99,0,4.25,3101,239,1.109175377
Pakistan,SouthernAsia,796095,197016,255.6,105.6,266458,5.5,1410.4,25.5,19,55.5,42.1,19.8,38.1,5.9,0.300606061,135,138,20534,46998,-26464,-1603,2.1,38.8,2.8,3.7,1.027692308,5.194029851,1910,2739.4,69.8,2.6,0.8,2.6,0.854563691,0.791919192,0.867924528,20.6,66.9,140,2,184.7777778,2202,17,1.044493882
Palau,Micronesia,459,22,47.2,113.3,258,5.7,12122.5,3.8,8,88.2,NA,NA,NA,NA,NA,NA,NA,7,154,-147,-24,0.8,87.1,1.7,2.2,1.142437592,1.549618321,0.214285714,0,13.3,9,NA,NA,0.987038883,0.98960499,1.549898167,12.5,111.5,182,87.6,0.024193548,NA,172,1.127906977
Panama,CentralAmerica,75320,4099,55.1,100.4,52132,5.8,13268.1,2.8,27.1,70,14.5,19.6,65.9,6.2,0.628109453,117,118,636,11697,-11061,-3377,1.7,66.6,2.1,2.6,1.083445491,2.403508772,39.29787234,21.5,15.2,8,1.6,3.2,0.974879227,1.074074074,1.490384615,18.3,174.2,383,62.3,3.826086957,31,35,1.102708804
Papua New Guinea,Melanesia,462840,8251,18.2,103.5,21315,6.6,2797.6,20.1,28.2,51.8,68.3,5.7,26,2.5,0.97752809,84,83,8760,8874,-114,5326,2.2,13,2.1,3.8,1.076677316,5.885245902,86,9.7,49,4.3,NA,NA,0.912353923,0.755458515,NA,2.7,46.6,493,74.1,7.875,114,22,2.682926829
Paraguay,SouthAmerica,406752,6811,17.1,102.9,27714,3.1,4174.4,19,29.5,51.6,19.6,19.5,61,5.5,0.688311688,160,166,8494,9753,-1259,-462,1.3,59.7,2.1,2.6,1.059405941,3.127659574,65.20833333,0.2,28.8,9.8,1.3,5,0.969330855,1.066037736,NA,13.8,105.4,59,39.4,6.333333333,325,38,1.05374078
Peru,SouthAmerica,1285216,32166,25.1,99.8,190428,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,5.3,0.798309179,145,148,36040,36185,-145,-9210,1.3,78.6,1.7,2.5,1.074125874,2.634615385,303,2.5,18.6,5.5,1.1,4,1,1.001044932,NA,27.7,109.9,685,57.9,30.85,1020,30,1.320809249
Philippines,South-easternAsia,3.00E+05,104918,351.9,101.3,292449,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,0.643852978,122,120,56313,85909,-29596,7694,1.6,44.4,1.3,3,1.102446483,4.171052632,1059.5,240.2,22.2,4.7,NA,NA,1.000856164,1.098341232,1.28343949,29.5,118.1,783,26.2,96.09090909,991,19,1.03765227
Poland,EasternEurope,312679,38171,124.6,93.4,477066,3.9,12355.5,2.6,34.1,63.3,10.9,29.6,59.5,5.3,0.756548536,113,113,196455,188518,7937,-2932,0,60.5,-0.1,1.3,1.111111111,0.616666667,387.125,23.7,4.5,6.4,2.3,4.9,1.00199005,0.964545455,1.52398524,28,148.7,58,30.7,38.60810811,2819,102,1.024767802
Portugal,SouthernEurope,92226,10330,112.8,89.8,199122,1.6,19239.2,2.3,22.3,75.4,8,23.8,68.2,10.5,0.836734694,104,104,55658,67580,-11922,842,-0.4,63.5,1,1.3,1.080206986,0.487455197,103.3703704,1.8,2.9,9.5,4.4,5.1,0.962522852,0.969421488,1.132758621,34.8,110.4,281,34.9,10.48837209,250,84,1
Puerto Rico,Caribbean,8868,3663,413,92.6,102906,0,27939,0.8,50,49.1,2,17.5,80.5,12.8,0.665377176,110,111,NA,NA,NA,NA,-0.2,93.6,-0.2,1.5,1.106382979,0.87745098,36.66666667,NA,6.3,NA,NA,6.4,1.014590348,1.064720812,1.409415121,NA,87.1,126,55.5,NA,1,16,NA
Qatar,WesternAsia,11607,2639,227.3,301.2,164641,3.6,73653.4,0.2,56.4,43.5,1.2,54.1,44.7,0.3,0.567307692,154,154,57254,32058,25196,13751,6.6,99.2,6,2,1.033854167,4.964285714,22.35231788,1.5,7.2,2.2,2,3.6,1.01171875,1.263414634,6.968253968,0,153.6,39,0,2.171026157,9166,846,1
Republic of Korea,EasternAsia,100284,50982,524.3,100.2,1377873,2.6,27396.7,2.3,38,59.7,5,24.7,70.3,3.6,0.698191933,104,104,495418,406182,89236,105871,0.4,82.5,0.7,1.2,1.083440308,0.671641791,510.5,8,3,7.4,2.2,5.1,0.993957704,0.990936556,0.765267176,17,118.5,111,63.5,50.18803419,2023,223,1.134243458
Republic of Moldova,EasternEurope,33846,4051,123.3,92.2,6475,-0.7,1591.4,13.4,20.8,65.8,28.8,30.9,40.3,5,0.840860215,109,109,2045,4020,-1975,-415,-0.1,45,-0.7,1.3,1.127436282,0.892045455,40.82857143,5.5,14.3,10.3,2.5,7.5,0.989235737,1.008158508,1.342776204,22.8,108,35,12.3,4.083333333,15,23,1.19041769
Romania,EasternEurope,238391,19679,85.5,94,177956,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,7.1,0.733333333,100,100,63581,74605,-11024,-2096,-0.6,54.6,0,1.5,1.098039216,0.614457831,189.0833333,3.2,8.7,5.6,2.7,3.1,0.983425414,0.994594595,1.234309623,20.7,107.1,104,29.5,19.44444444,1109,68,1
Russian Federation,EasternEurope,17098246,143990,8.8,86.8,1326016,-3.7,9243.3,4.7,31.8,63.5,6.8,27.1,66.1,5.8,0.789621318,120,120,285491,182257,103234,69000,0.1,74,-0.1,1.7,1.173106646,0.834123223,1437.444444,418.4,8.3,7.1,3.3,3.9,1.007992008,0.980094787,1.211248285,15.8,160,235,49.8,143.302521,54829,208,1.084429825
Rwanda,EasternAfrica,26338,12208,494.9,96.2,8096,6.9,697.3,34.6,15.1,50.3,75,7.2,17.8,2.4,1.033613445,139,139,622,1778,-1157,-1099,2.5,28.8,6.4,4.2,1.063391442,8.183673469,116.1842105,155.1,44,7.5,NA,3.6,1.012908125,1.085227273,0.758241758,61.3,70.5,62,19.2,8,84,8,1.204450626
Saint Helena,WesternAfrica,308,4,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,48,-48,NA,-0.7,39.4,-0.6,NA,NA,NA,0.039473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7,100,5.1,0,0,41,NA
Saint Kitts and Nevis,Caribbean,261,55,212.9,97,876,3.8,15771.9,1.2,28.1,70.7,NA,NA,NA,NA,NA,39,39,51,332,-280,-63,1.1,32,1.3,NA,NA,NA,0.552238806,0,NA,5.1,NA,2.8,1.020807834,1.054545455,2.038022814,13.3,131.8,52,42.3,0.047619048,0,59,1
Saint Lucia,Caribbean,539,179,293.2,95.9,1450,1.9,7839.4,2.7,12.9,84.4,14.8,17.6,67.6,19,0.823759791,69,69,120,654,-535,-100,0.5,18.5,0.9,1.5,1.074792244,1.379562044,1.855072464,0,10.9,6.7,NA,4.9,NA,0.991812865,1.896551724,16.7,101.5,62,33.4,0.181818182,0,33,1.040794979
Saint Pierre and Miquelon,NorthernAmerica,242,6,27.5,98.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,112,653,2629,-1976,NA,0,90.4,0.1,NA,NA,NA,0.063694268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12.3,0.008196721,0,174,NA
Saint Vincent and the Grenadines,Caribbean,389,110,281.8,101.7,738,1.6,6739.2,7.5,17.2,75.3,22.1,16.1,61.8,19.1,0.733420026,115,115,47,335,-288,-210,0,50.6,0.7,2,1.059405941,2.034188034,1.095238095,NA,16.5,8.6,NA,NA,0.975425331,0.973123262,NA,13,103.6,58,69.2,0.105263158,0,29,1
Samoa,Polynesia,2842,196,69.4,106.6,774,2.8,4006,9.3,24.2,66.6,5.3,14.8,79.8,6.5,0.400343643,107,107,56,350,-294,-44,0.8,19.1,-0.2,4.2,1.088607595,4.305882353,1.884615385,0,18,7.2,NA,NA,1,1.109045849,NA,10,58.5,93,60.4,0.2,2,24,0.981873112
San Marino,SouthernEurope,61,33,556.7,94.9,1565,1,49240.2,0.1,33.3,66.6,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,1.2,94.2,0.6,NA,1.05752754,0.622406639,0.317567568,NA,NA,6.1,6.4,2.4,0.986155485,1.025668449,1.384158416,26.7,115.2,1,0,NA,NA,NA,NA
Sao Tome and Principe,MiddleAfrica,964,204,212.8,99.2,334,4,1752.8,12.3,14.7,73,22.2,13.5,64.3,13.6,0.595800525,119,119,10,139,-129,-69,2.2,65.1,3.6,4.7,1.065625,9.953488372,1.846153846,NA,43.8,8.1,NA,3.8,0.953271028,1.13490099,1.03030303,18.2,65.1,94,55.8,0.166666667,1,14,1.056623932
Saudi Arabia,WesternAsia,2206714,32938,15.3,132.9,653219,3.4,20710.6,2.3,46,51.8,5.9,22.7,71.4,5.5,0.25477707,96,96,182329,135904,46426,-56724,2.8,83.1,2.1,2.7,1.039889959,4.5,315.3529412,70.2,13,4.7,2.6,NA,1.02965709,0.764274062,0.959627329,19.9,176.6,131,0.5,30.82051282,25904,287,1
Senegal,WesternAfrica,196712,15851,82.3,96.6,13633,6.5,901.1,15.5,24.1,60.4,51.4,20.7,27.9,9.3,0.642553191,126,127,2640,5478,-2838,-1348,3,43.7,3.6,5,1.05799373,9.127659574,154.8235294,17.6,43.9,4.7,NA,7.4,1.119845361,0.978087649,0.604651163,42.7,100,123,43.2,14.83333333,77,11,1.38038633
Serbia,SouthernEurope,88499,8791,100.5,95.6,37160,0.8,5238.6,8.2,31.4,60.5,19.4,24.5,56.1,15.5,0.724540902,102,102,14852,19231,-4379,-1751,-0.4,55.6,-0.3,1.6,1.079387187,0.673469388,88.72527473,254.1,9.8,10.4,2.5,4.2,0.997044335,1.014583333,1.332669323,34.4,120.5,71,31.1,8.76744186,393,62,1.005055612
Seychelles,EasternAfrica,457,95,206,97.2,1363,6.8,14133.2,2.7,13.6,83.8,3.6,17.9,78.2,4.1,0.906295754,105,109,335,833,-498,-256,0.5,53.9,1.1,2.4,1.133915575,1.669172932,0.962406015,NA,10.2,3.4,1,3.6,1.024727992,1.072335025,2.107526882,21.2,158.1,439,88.4,0.096153846,0,72,1
Sierra Leone,WesternAfrica,72300,7557,104.7,98.1,4483,-20.3,694.8,51.4,17.6,31.1,68,6.5,25.5,3.1,0.94622093,168,168,466,958,-492,-1317,2.3,39.9,2.7,4.8,1.022177419,10.02380952,65.14285714,0.8,94.4,11.1,NA,2.7,1.009448819,0.862365591,NA,12.4,89.5,177,41.3,6.5,53,11,1.776150628
Singapore,South-easternAsia,719,5709,8155.5,97.7,292734,2,52239,0,26.4,73.6,0.3,17,82.6,2,0.759526938,112,112,329871,283009,46862,57922,1.7,100,2,1.2,1.054931336,0.769230769,56.02643172,0,2.1,4.9,1.9,2.9,NA,NA,NA,23.8,146.1,293,23.1,5.529411765,27,209,NA
Sint Maarten (Dutch part),Caribbean,34,40,1180,95.7,1094,0.5,28241.7,0.1,12.3,87.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,3.1,100,2,NA,1.11416185,2.019230769,0.387784091,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,0.035897436,NA,303,NA
Slovakia,EasternEurope,49035,5448,113.3,94.6,87268,3.8,16082.5,3.7,34.8,61.5,3.3,34.5,62.2,9.9,0.755882353,97,97,77565,75156,2409,193,0.1,53.6,-0.3,1.4,1.099173554,0.706422018,53.6969697,2.7,5.7,8.1,3.4,4.2,0.99001996,1.007600434,1.545454545,20,122.3,54,40.3,5.482142857,264,121,1
Slovenia,SouthernEurope,20273,2080,103.3,98.6,42777,2.3,20689.8,2.4,32.7,64.9,8.9,29.6,61.5,8.1,0.832797428,89,89,27585,26646,939,2216,0.3,49.7,0.1,1.6,1.077720207,0.570342205,20.70175439,0.6,2.5,9.2,2.8,5.5,1.002016129,0.997292419,1.444281525,36.7,113.2,143,62,2.064516129,154,135,1.003018109
Solomon Islands,Melanesia,28896,611,21.8,103.4,1075,3.2,1841.6,28.2,15.6,56.3,48.1,2.4,49.5,31.4,0.831292517,118,118,437,454,-17,-36,2.1,22.3,4.2,4.1,1.040995608,7.185185185,6.5,0,30,5.1,0.2,NA,0.987826087,0.9437751,NA,2,72.7,245,78.3,0.5,3,11,1.207253886
Somalia,EasternAfrica,637657,14742,23.5,99.3,1559,2.7,144.5,60.2,7.4,32.5,72,4.8,23.2,6.6,0.438735178,112,112,925,530,394,NA,2.9,39.6,4.1,6.6,1.060037523,10.54545455,126.5,1168.4,79.5,NA,0,NA,NA,NA,NA,24.2,52.5,175,10.3,6,129,12,7.909090909
South Africa,SouthernAfrica,1221037,56717,46.8,96.4,314571,1.3,5773,2.4,28.9,68.7,6.1,26.2,67.7,26,0.759410802,125,126,74111,74744,-633,-13644,1.4,64.8,1.6,2.6,1.122994652,3.452380952,541.8103448,1201.9,36.5,8.8,0.8,6,0.952054795,1.267045455,1.484076433,42.2,159.3,581,7.6,53.82417582,7102,122,1.223587224
South Sudan,EasternAfrica,658841,12576,20.6,100.4,13167,2,1067,4.6,58,37.4,NA,NA,NA,NA,NA,NA,NA,2389,750,1640,-935,3.3,18.8,5.1,5.2,1.035120148,8.176470588,123,2231.2,77.7,2.7,NA,1.8,0.70894526,0.536585366,NA,28.5,23.9,49,NA,15,337,2,1.172231986
Spain,SouthernEurope,505944,46354,92.9,96.2,1192955,3.2,25865.4,2.6,23.6,73.7,3.9,19.2,76.8,18.3,0.81152648,102,102,281777,302539,-20762,16208,-0.2,79.6,0.7,1.3,1.07160804,0.581027668,460.8661417,28.8,2.9,9,3.8,4.3,1.010526316,0.996923077,1.176969697,39.1,107.9,617,36.8,45.88235294,1432,102,1
Sri Lanka,SouthernAsia,65610,20877,332.9,92.5,82316,4.8,3973.7,8.7,30.7,60.6,27.4,25.9,46.6,5.2,0.405333333,120,122,10546,19501,-8955,-2009,0.5,18.4,0.8,2.1,1.095505618,1.610738255,193.5,44.2,8.2,3.5,NA,2.2,0.979552093,1.046153846,1.538461538,5.8,112.8,587,33.1,20.44444444,179,20,1.036842105
State of Palestine,WesternAsia,6020,4921,817.4,102.9,12677,3.5,2715.5,4.8,23.4,71.9,8.7,29.8,61.5,24.2,0.263988522,90,90,929,5058,-4128,-1713,2.7,75.3,2.8,4.2,1.052039381,8.608695652,46.45454545,0,20,NA,NA,1.3,0.998940678,1.098484848,1.576811594,NA,77.6,31,1.5,4.666666667,9,15,0.62208589
Sudan,NorthernAfrica,NA,40533,23,99.9,79546,4.9,1977,32.4,20.1,47.6,32.9,20.4,46.7,13.4,0.337950139,NA,NA,1797,7658,-5861,-5933,2.3,33.8,2.5,4.8,1.048309179,7.418181818,387.3076923,3619.6,48.7,8.4,3.1,NA,0.898785425,0.945330296,1.063291139,30.5,70.5,133,NA,38.5,682,16,NA
Suriname,SouthAmerica,163820,563,3.6,100.7,4879,-2.7,8985.3,11.4,27.4,61.1,3.4,22.3,74.3,9.9,0.590379009,152,152,1437,1244,193,-808,1,66,0.8,2.5,1.09439528,2.538461538,5.441860465,0,17.4,5.7,NA,NA,0.977455717,1.267782427,NA,25.5,180.7,83,98.3,0.540540541,44,62,1.109728507
Swaziland,SouthernAfrica,17363,1367,79.5,93.9,4133,1.7,3211.7,6.6,42.1,51.3,22,17,61,25.1,0.623655914,114,115,1881,733,1149,281,1.8,21.3,1.3,3.3,1.127906977,7.75,12.64,1.1,56.3,9.3,NA,7,0.919148936,0.993957704,1.057692308,6.2,73.2,34,33.8,1.2,39,40,1.358490566
Sweden,NorthernEurope,438574,9911,24.2,100.2,495694,4.1,50687.5,1.3,26.3,72.4,1.8,18.2,79.9,7.3,0.892647059,100,100,139574,140838,-1263,23250,0.8,85.8,0.8,1.9,1.04625,0.68627451,97.60714286,348.5,2.4,11.9,4.1,7.7,1.04145937,1.140684411,1.526209677,43.6,130.4,54,68.9,9.644444444,1428,206,1
Switzerland,WesternEurope,41291,8476,214.5,98.2,670790,0.8,80831.1,0.7,25.5,73.8,3.5,20.4,76.1,4.6,0.838926174,106,106,304691,269157,35534,77378,1.2,73.9,1.1,1.5,1.053416149,0.618257261,82.94897959,110.1,3.9,11.7,4.1,5.1,0.997118156,0.965048544,1.028119508,32.5,142,74,31.6,8.209302326,552,126,1
Syrian Arab Republic,WesternAsia,185180,18270,99.5,102.1,28393,-5.3,1534.5,20.7,30,49.3,18.5,39.2,42.3,13.8,0.174894217,65,68,1265,2383,-1118,NA,-2.3,57.7,1.4,3.1,1.184782609,5.382352941,186.212766,6768.5,17.9,3.3,1.5,NA,0.966830467,1,1.138014528,13.2,62.4,132,2.7,18.05882353,237,24,1.058486239
Tajikistan,CentralAsia,142600,8921,63.7,100.9,7853,4.2,925.9,25,28,47.1,57.2,13.4,29.4,10.8,0.76508344,155,172,899,3030,-2132,-472,2.2,26.8,2.6,3.5,1.085672083,6.086206897,85.96875,21.8,38.9,6.9,1.7,5.2,1.014028056,0.898378378,0.714285714,19,98.6,45,3,8.666666667,76,14,1.395802099
Thailand,South-easternAsia,513120,69038,135.1,95.2,395168,2.8,5814.8,9.1,35.7,55.1,34,22.7,43.3,0.6,0.785714286,129,126,213927,195666,18260,32149,0.4,50.4,3,1.5,1.107344633,1.023668639,674.7068966,554.1,11.2,4.1,NA,4.1,0.934967012,0.94494721,1.414814815,4.9,125.8,611,32,67.27659574,3338,83,0.995918367
The former Yugoslav Republic of Macedonia,SouthernEurope,25713,2083,82.6,100,10052,3.8,4836.1,12,27.9,65.1,16.2,29.2,54.5,27.3,0.647492625,111,112,4785,6757,-1972,-204,0.1,57.1,0.1,1.5,1.054644809,0.856410256,20.74603175,1.4,9,6.5,2.8,NA,0.991452991,0.97384807,1.248,31.7,105.4,110,39.6,2.083333333,53,53,1.009100101
Timor-Leste,South-easternAsia,14919,1296,87.2,103.2,2873,4.3,2425.4,5.2,79.9,14.9,50.8,2,47.2,4.3,0.48381295,111,117,94,647,-553,238,2.2,32.8,3.8,5.9,1.051437216,8.074074074,12,0,43.9,1.5,0.1,7.8,0.990545455,1.074224022,NA,38.5,117.4,24,46.9,1.25,143,7,1.573553719
Togo,WesternAfrica,56785,7798,143.4,99.4,4086,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,1.003717472,140,143,715,1716,-1001,-461,2.6,40,3.8,4.7,1.025728988,9.043478261,72.84210526,13.8,55.7,5.2,NA,5.2,0.947242206,NA,0.429530201,17.6,65,80,3.8,6.5,111,20,2.067873303
Tokelau,Polynesia,12,1,130,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,112,0,1,-1,NA,1.9,0,0,2.1,NA,2.319672131,0.012820513,NA,NA,NA,NA,NA,0.944628099,0.93493416,NA,NA,NA,49,0,NA,NA,NA,NA
Tonga,Polynesia,747,108,150,100.7,402,3.8,3784.5,22.4,21.5,56.1,33.3,28.2,38.5,4.8,0.715832206,134,134,14,209,-196,-33,0.4,23.7,0.7,3.8,1.086206897,4.211764706,1.055555556,NA,20.6,5.2,NA,NA,0.989871087,1.090277778,NA,3.8,65.6,79,12.5,0.090909091,0,15,1.001004016
Trinidad and Tobago,Caribbean,5127,1369,266.9,97.1,25927,0.2,19062.9,0.5,42.5,57,4.1,31.6,64.3,4.2,0.715846995,95,95,4576,4826,-249,NA,0.5,8.4,-1.2,1.8,1.103139013,1.38,13.48648649,0.2,24.8,5.9,NA,NA,NA,NA,NA,31,157.7,69,45.4,1.35380117,1663,607,1
